Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,1,1,2,"1, 4, 5, 6, 9,10,11,13,16,17,18","2, 3, 7, 8,12,14,15,19,20",1650,1350,88.4,73.718,1561.6,1276.282,3000,2837.882,1418.941,11,9,"0,21,63,97,127,194.1,253.7,291.9,341.1,367.9,394,442","0,53,74,134,158,181,229,278.2,310.59,368.59"
1,2,1,3,"1, 2, 6, 7, 8,12,16,17,18","3, 4, 5, 9,10,11,13,14,15,19,20",1350,1650,70.06,102.498,1279.94,1547.502,3000,2827.442,1413.721,9,11,"0,97,126,143,203,227,249.4,276.2,302.3,350.3","0,67,109,121,188.1,247.7,285.9,354.9,402.9,452.1,484.49,512.49"
1,3,1,4,"1, 2, 3, 6, 7, 8,12,14,15,19,20","4, 5, 9,10,11,13,16,17,18",1650,1350,104.118,71.6,1545.882,1278.4,3000,2824.282,1412.141,11,9,"0,97,150,188,205,265,289,312,360,409.2,441.59,520.59","0,42,54,121.1,180.7,218.9,268.1,294.9,321,358"
1,4,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
1,5,1,6,"1, 2, 3, 4, 5, 9,10,11,13,16,17,18","6, 7, 8,12,14,15,19,20",1800,1200,117.2,62.118,1682.8,1137.882,3000,2820.682,1410.341,12,8,"0,97,150,217,259,271,338.1,397.7,435.9,485.1,511.9,538,586","0,17,77,101,124,172,221.2,253.59,310.59"
1,6,1,7,"1, 2, 3, 4, 5, 6, 9,10,11,13,16,17,18","7, 8,12,14,15,19,20",1950,1050,127.6,55.318,1822.4,994.682,3000,2817.082,1408.541,13,7,"0,97,150,217,259,293,323,390.1,449.7,487.9,537.1,563.9,590,638","0,60,84,107,155,204.2,236.59,276.59"
1,7,1,8,"1, 2, 3, 4, 5, 6, 7, 9,10,11,13,16,17,18","8,12,14,15,19,20",2100,900,133.4,46.718,1966.6,853.282,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,352,419.1,478.7,516.9,566.1,592.9,619,667","0,24,47,95,144.2,176.59,233.59"
1,8,1,9,"1, 2, 3, 4, 5, 6, 7, 8,10,12,14,15,19,20","9,11,13,16,17,18",2100,900,147.818,35.96,1952.182,864.04,3000,2816.222,1408.111,14,6,"0,97,150,217,259,293,310,370,442.5,507.5,530.5,578.5,627.7,660.09,739.09","0,20.5,58.7,107.9,134.7,160.8,179.8"
1,9,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
1,10,1,11,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,12,14,15,19,20","11,13,16,17,18",2250,750,162.338,36,2087.662,714,3000,2801.662,1400.831,15,5,"0,97,150,217,259,293,310,370,448,515.1,580.1,603.1,651.1,700.3,732.69,811.69","0,38.2,87.4,114.2,140.3,180"
1,11,1,12,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,13,16,17,18","12,14,15,19,20",2250,750,152.6,42.318,2097.4,707.682,3000,2805.082,1402.541,15,5,"0,97,150,217,259,293,310,370,448,515.1,574.7,612.9,662.1,688.9,715,763","0,23,71,120.2,152.59,211.59"
1,12,1,13,"1, 4, 5, 6, 7,10,12,16,17,18","13, 2, 3, 8, 9,11,14,15,19,20",1500,1500,65.86,112.218,1434.14,1387.782,3000,2821.922,1410.961,10,10,"0,21,63,97,114,141,206,228.4,255.2,281.3,329.3","0,78,131,173,251,271.5,325.5,373.5,422.7,455.09,561.09"
1,13,1,14,"1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,16,17,18","14,15,19,20",2400,600,172.88,34.318,2227.12,565.682,3000,2792.802,1396.401,16,4,"0,97,150,217,259,293,310,370,448,515.1,574.7,642.7,714.3,763.5,790.3,816.4,864.4","0,48,97.2,129.59,171.59"
1,14,1,15,"1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,78,78.358,1422,1421.642,3000,2843.642,1421.821,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
1,15,1,16,"1, 4, 5, 9,10,11,13,18","16, 2, 3, 6, 7, 8,12,14,15,17,19,20",1200,1800,62.26,115.078,1137.74,1684.922,3000,2822.662,1411.331,8,12,"0,21,63,75,142.1,201.7,239.9,263.3,311.3","0,72,125,163,180,240,264,287,335,412.8,473.9,506.29,575.39"
1,16,1,17,"1, 4, 5, 6, 7, 9,11,13,18","17, 2, 3, 8,10,12,14,15,16,19,20",1350,1650,57.22,120.398,1292.78,1529.602,3000,2822.382,1411.191,9,11,"0,21,63,97,114,156,176.5,214.7,238.1,286.1","0,49,102,144,216.5,281.5,304.5,352.5,427.3,503,535.39,601.99"
1,17,1,18,"1, 4, 5, 9,11,13,14,15,20","18, 2, 3, 6, 7, 8,10,12,16,17,19",1350,1650,69.346,115.36,1280.654,1534.64,3000,2815.294,1407.647,9,11,"0,21,63,75,95.5,133.7,202.7,250.7,267.73,346.73","0,74,127,165,182,242,314.5,379.5,401.9,428.7,489.8,576.8"
1,18,1,19,"1, 4, 5, 9,10,11,13,16,17,18","19, 2, 3, 6, 7, 8,12,14,15,20",1500,1500,78,68.486,1422,1431.514,3000,2853.514,1426.757,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,30,83,121,138,198,222,245,293,310.03,342.43"
1,19,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
1,20,2,1,"2, 3, 6, 7, 8,10,12,14,15,19,20","1, 4, 5, 9,11,13,16,17,18",1650,1350,103.218,56.76,1546.782,1293.24,3000,2840.022,1420.011,11,9,"0,53,91,108,168,240.5,305.5,328.5,376.5,425.7,458.09,516.09","0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8"
1,21,2,3,"2, 1, 6, 7, 8,10,12,16,17,18","3, 4, 5, 9,11,13,14,15,19,20",1500,1500,106.16,81.258,1393.84,1418.742,3000,2812.582,1406.291,10,10,"0,97,167,184,244,316.5,381.5,403.9,430.7,456.8,530.8","0,67,109,121,141.5,179.7,248.7,296.7,345.9,378.29,406.29"
1,22,2,4,"2, 3, 6, 7, 8,12,14,15,19,20","4, 1, 5, 9,10,11,13,16,17,18",1500,1500,80.518,77.2,1419.482,1422.8,3000,2842.282,1421.141,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,21,70,82,149.1,208.7,246.9,296.1,322.9,349,386"
1,23,2,5,"2, 3, 6, 7, 8,12,14,15,19,20","5, 1, 4, 9,10,11,13,16,17,18",1500,1500,80.518,80.6,1419.482,1419.4,3000,2838.882,1419.441,10,10,"0,53,91,108,168,192,215,263,312.2,344.59,402.59","0,49,70,124,191.1,250.7,288.9,338.1,364.9,391,403"
1,24,2,6,"2, 3, 8, 9,11,13,16,17,18,19","6, 1, 4, 5, 7,10,12,14,15,20",1500,1500,90.16,82.206,1409.84,1417.794,3000,2827.634,1413.817,10,10,"0,53,95,173,193.5,231.7,280.9,307.7,333.8,420.8,450.8","0,70,91,133,174,201,266,289,337,354.03,411.03"
